categorie,opus,fichier,notre_titre,titre_nba
exact,BWV 387,"Nun_freut_euch,_Gottes_Kinder_all_(BWV_387)_Jean_Sébastien_Bach_layout.ly","Nun freut euch, Gottes Kinder all","Nun freut euch, Gottes Kinder all"
exact,BWV 388,"Nun_freut_euch,_lieben_Christen_gmein_(BWV_388)_Jean_Sébastien_Bach_layout.ly","Nun freut euch, lieben Christen gmein","Nun freut euch, lieben Christen gmein"
exact,BWV 36/8,"Nun_komm,_der_Heiden_Heiland_(BWV_36_8)_Jean_Sébastien_Bach_layout.ly","Nun komm, der Heiden Heiland","Nun komm, der Heiden Heiland"
exact,BWV 62/6,"Nun_komm,_der_Heiden_Heiland_(BWV_62_6)_Jean_Sébastien_Bach_layout.ly","Nun komm, der Heiden Heiland","Nun komm, der Heiden Heiland"
exact,BWV 17/7,"Nun_lob,_mein_Seel,_den_Herren_(BWV_17_7)_Jean_Sébastien_Bach_layout.ly","Nun lob, mein Seel, den Herren","Nun lob, mein Seel, den Herren"
exact,BWV 29/8,"Nun_lob,_mein_Seel,_den_Herren_(BWV_29_8)_Jean_Sébastien_Bach_layout.ly","Nun lob, mein Seel, den Herren","Nun lob, mein Seel, den Herren"
exact,BWV 391,Nun_preiset_alle_Gottes_Barmherzigkeit_(BWV_391)_Jean_Sébastien_Bach_layout.ly,Nun preiset alle Gottes Barmherzigkeit,Nun preiset alle Gottes Barmherzigkeit
exact,BWV 392,Nun_ruhen_alle_Wälder_(BWV_392)_Jean_Sébastien_Bach_layout.ly,Nun ruhen alle Wälder,Nun ruhen alle Wälder
exact,BWV 396,Nun_sich_der_Tag_geendet_hat_(BWV_396)_Jean_Sébastien_Bach_layout.ly,Nun sich der Tag geendet hat,Nun sich der Tag geendet hat
exact,BWV 24/6,"O_Gott,_du_frommer_Gott_(BWV_24_6)_Jean_Sébastien_Bach_layout.ly","O Gott, du frommer Gott","O Gott, du frommer Gott"
exact,BWV 45/7,"O_Gott,_du_frommer_Gott_(BWV_45_7)_Jean_Sébastien_Bach_layout.ly","O Gott, du frommer Gott","O Gott, du frommer Gott"
exact,BWV 244/15,O_Haupt_voll_Blut_und_Wunden_(BWV_244_15)_Jean_Sébastien_Bach_layout.ly,O Haupt voll Blut und Wunden,O Haupt voll Blut und Wunden
exact,BWV 244/54,O_Haupt_voll_Blut_und_Wunden_(BWV_244_54)_Jean_Sébastien_Bach_layout.ly,O Haupt voll Blut und Wunden,O Haupt voll Blut und Wunden
exact,BWV 244/62,O_Haupt_voll_Blut_und_Wunden_(BWV_244_62)_Jean_Sébastien_Bach_layout.ly,O Haupt voll Blut und Wunden,O Haupt voll Blut und Wunden
exact,BWV 184/5,"O_Herre_Gott,_dein_göttlich_Wort_(BWV_184_5)_Jean_Sébastien_Bach_layout.ly","O Herre Gott, dein göttlich Wort","O Herre Gott, dein göttlich Wort"
exact,BWV 402,"O_Mensch,_bewein_dein_Sünde_groß_(BWV_402)_Jean_Sébastien_Bach_layout.ly","O Mensch, bewein dein Sünde groß","O Mensch, bewein dein Sünde groß"
exact,BWV 403,"O_Mensch,_schau_Jesum_Christum_an_(BWV_403)_Jean_Sébastien_Bach_layout.ly","O Mensch, schau Jesum Christum an","O Mensch, schau Jesum Christum an"
exact,BWV 404,"O_Traurigkeit,_o_Herzeleid_(BWV_404)_Jean_Sébastien_Bach_layout.ly","O Traurigkeit, o Herzeleid!","O Traurigkeit, o Herzeleid!"
exact,BWV 244/10,"O_Welt,_sieh_hier_dein_Leben_(BWV_244_10)_Jean_Sébastien_Bach_layout.ly","O Welt, sieh hier dein Leben","O Welt, sieh hier dein Leben"
exact,BWV 244/37,"O_Welt,_sieh_hier_dein_Leben_(BWV_244_37)_Jean_Sébastien_Bach_layout.ly","O Welt, sieh hier dein Leben","O Welt, sieh hier dein Leben"
exact,BWV 245/11,"O_Welt,_sieh_hier_dein_Leben_(vv._3–4)_(BWV_245_11)_Jean_Sébastien_Bach_layout.ly","O Welt, sieh hier dein Leben","O Welt, sieh hier dein Leben"
exact,BWV 46/6,O_großer_Gott_von_Macht_(BWV_46_6)_Jean_Sébastien_Bach_layout.ly,O großer Gott von Macht,O großer Gott von Macht
exact,BWV 407,O_wir_armen_Sünder_(BWV_407)_Jean_Sébastien_Bach_layout.ly,O wir armen Sünder!,O wir armen Sünder!
exact,BWV 153/1,"Schau,_lieber_Gott,_wie_meine_Feind_(BWV_153_1)_Jean_Sébastien_Bach_layout.ly","Schau, lieber Gott, wie meine Feind","Schau, lieber Gott, wie meine Feind"
exact,BWV 408,"Schaut,_ihr_Sünder_(BWV_408)_Jean_Sébastien_Bach_layout.ly","Schaut, ihr Sünder","Schaut, ihr Sünder"
exact,BWV 180/7,"Schmücke_dich,_o_liebe_Seele_(BWV_180_7)_Jean_Sébastien_Bach_layout.ly","Schmücke dich, o liebe Seele","Schmücke dich, o liebe Seele"
exact,BWV 40/6,Schwing_dich_auf_zu_deinem_Gott_(BWV_40_6)_Jean_Sébastien_Bach_layout.ly,Schwing dich auf zu deinem Gott,Schwing dich auf zu deinem Gott
exact,BWV 251,Sei_Lob_und_Ehr_dem_höchsten_Gut_(BWV_251)_Jean_Sébastien_Bach_layout.ly,Sei Lob und Ehr dem höchsten Gut,Sei Lob und Ehr dem höchsten Gut
exact,BWV 410,"Sei_gegrüßet,_Jesu_gütig_(BWV_410)_Jean_Sébastien_Bach_layout.ly","Sei gegrüßet, Jesu gütig","Sei gegrüßet, Jesu gütig"
exact,BWV 87/7,Selig_ist_die_Seele_(BWV_87_7)_Jean_Sébastien_Bach_layout.ly,Selig ist die Seele,Selig ist die Seele
exact,BWV 187/7,Singen_wir_aus_Herzensgrund_(BWV_187_7)_Jean_Sébastien_Bach_layout.ly,Singen wir aus Herzensgrund,Singen wir aus Herzensgrund
exact,BWV 411,Singt_dem_Herrn_ein_neues_Lied_(BWV_411)_Jean_Sébastien_Bach_layout.ly,Singt dem Herrn ein neues Lied,Singt dem Herrn ein neues Lied
exact,BWV 500a,"So_gehst_du_nun,_mein_Jesu,_hin_(BWV_500a)_Jean_Sébastien_Bach_layout.ly","So gehst du nun, mein Jesu, hin","So gehst du nun, mein Jesu, hin"
exact,BWV 412,"So_gibst_du_nun,_mein_Jesu,_gute_Nacht_(BWV_412)_Jean_Sébastien_Bach_layout.ly","So gibst du nun, mein Jesu, gute Nacht!","So gibst du nun, mein Jesu, gute Nacht!"
exact,BWV 102/7,"So_wahr_ich_lebe,_spricht_dein_Gott_(BWV_102_7)_Jean_Sébastien_Bach_layout.ly","So wahr ich lebe, spricht dein Gott","So wahr ich lebe, spricht dein Gott"
exact,BWV 413,Sollt_ich_meinem_Gott_nicht_singen_(BWV_413)_Jean_Sébastien_Bach_layout.ly,Sollt ich meinem Gott nicht singen,Sollt ich meinem Gott nicht singen
exact,BWV 30/6,"Tröstet,_tröstet_meine_Lieben_(BWV_30_6)_Jean_Sébastien_Bach_layout.ly","Tröstet, tröstet meine Lieben","Tröstet, tröstet meine Lieben"
exact,BWV 414,Uns_ist_ein_Kindlein_heut_geborn_(BWV_414)_Jean_Sébastien_Bach_layout.ly,Uns ist ein Kindlein heut geborn,Uns ist ein Kindlein heut geborn
exact,BWV 245/26,Valet_will_ich_dir_geben_(BWV_245_26)_Jean_Sébastien_Bach_layout.ly,Valet will ich dir geben,Valet will ich dir geben
exact,BWV 416,Vater_unser_im_Himmelreich_(choral)_(BWV_416)_Jean_Sébastien_Bach_layout.ly,Vater unser im Himmelreich,Vater unser im Himmelreich
exact,BWV 73/5,Von_Gott_will_ich_nicht_lassen_(BWV_73_5)_Jean_Sébastien_Bach_layout.ly,Von Gott will ich nicht lassen,Von Gott will ich nicht lassen
exact,BWV 327,Vor_deinen_Thron_tret_ich_hiermit_(BWV_327)_Jean_Sébastien_Bach_layout.ly,Vor deinen Thron tret ich hiermit,Vor deinen Thron tret ich hiermit
exact,BWV 194/12,"Wach_auf,_mein_Herz,_und_singe_(BWV_194_12)_Jean_Sébastien_Bach_layout.ly","Wach auf, mein Herz, und singe","Wach auf, mein Herz, und singe"
exact,BWV 140/7,"Wachet_auf,_ruft_uns_die_Stimme_(BWV_140_7)_Jean_Sébastien_Bach_layout.ly","Wachet auf, ruft uns die Stimme","Wachet auf, ruft uns die Stimme"
exact,BWV 47/5,"Warum_betrübst_du_dich,_mein_Herz_(BWV_47_5)_Jean_Sébastien_Bach_layout.ly","Warum betrübst du dich, mein Herz","Warum betrübst du dich, mein Herz"
exact,BWV 422,Warum_sollt_ich_mich_denn_grämen_(BWV_422)_Jean_Sébastien_Bach_layout.ly,Warum sollt ich mich denn grämen,Warum sollt ich mich denn grämen
exact,BWV 144/3,"Was_Gott_tut,_das_ist_wohlgetan_(BWV_144_3)_Jean_Sébastien_Bach_layout.ly","Was Gott tut, das ist wohlgetan","Was Gott tut, das ist wohlgetan"
exact,BWV 250,"Was_Gott_tut,_das_ist_wohlgetan_(BWV_250)_Jean_Sébastien_Bach_layout.ly","Was Gott tut, das ist wohlgetan","Was Gott tut, das ist wohlgetan"
exact,BWV 69a/6,"Was_Gott_tut,_das_ist_wohlgetan_(BWV_69a_6)_Jean_Sébastien_Bach_layout.ly","Was Gott tut, das ist wohlgetan","Was Gott tut, das ist wohlgetan"
exact,BWV 176/6,Was_alle_Weisheit_in_der_Welt_(BWV_176_6)_Jean_Sébastien_Bach_layout.ly,Was alle Weisheit in der Welt,Was alle Weisheit in der Welt
exact,BWV 424,"Was_bist_du_doch,_o_Seele,_so_betrübet_(BWV_424)_Jean_Sébastien_Bach_layout.ly","Was bist du doch, o Seele so betrübet","Was bist du doch, o Seele so betrübet"
exact,BWV 64/4,Was_frag_ich_nach_der_Welt_(BWV_64_4)_Jean_Sébastien_Bach_layout.ly,Was frag ich nach der Welt,Was frag ich nach der Welt
exact,BWV 425,"Was_willst_du_dich,_o_meine_Seele,_kränken_(BWV_425)_Jean_Sébastien_Bach_layout.ly","Was willst du dich, o meine Seele, kränken","Was willst du dich, o meine Seele, kränken"
exact,BWV 32/6,"Weg,_mein_Herz,_mit_den_Gedanken_(BWV_32_6)_Jean_Sébastien_Bach_layout.ly","Weg, mein Herz, mit den Gedanken","Weg, mein Herz, mit den Gedanken"
exact,BWV 27/6,"Welt,_ade!_Ich_bin_dein_müde_(BWV_27_6)_Jean_Sébastien_Bach_layout.ly","Welt, ade! Ich bin dein müde","Welt, ade! Ich bin dein müde"
exact,BWV 426,Weltlich_Ehr_und_zeitlich_Gut_(BWV_426)_Jean_Sébastien_Bach_layout.ly,Weltlich Ehr und zeitlich Gut,Weltlich Ehr und zeitlich Gut
exact,BWV 427,Wenn_ich_in_Angst_und_Not_(BWV_427)_Jean_Sébastien_Bach_layout.ly,Wenn ich in Angst und Not,Wenn ich in Angst und Not
exact,BWV 433,"Wer_Gott_vertraut,_hat_wohl_gebaut_(BWV_433)_Jean_Sébastien_Bach_layout.ly","Wer Gott vertraut, hat wohl gebaut","Wer Gott vertraut, hat wohl gebaut"
exact,BWV 244/40,"Werde_munter,_mein_Gemüte_(BWV_244_40)_Jean_Sébastien_Bach_layout.ly",Werde munter mein Gemüte,Werde munter mein Gemüte
exact,BWV 55/5,"Werde_munter,_mein_Gemüte_(BWV_55_5)_Jean_Sébastien_Bach_layout.ly",Werde munter mein Gemüte,Werde munter mein Gemüte
exact,BWV 435,"Wie_bist_du,_Seele,_in_mir_so_gar_betrübt_(BWV_435)_Jean_Sébastien_Bach_layout.ly","Wie bist du, Seele, in mir so gar betrübt","Wie bist du, Seele, in mir so gar betrübt"
exact,BWV 172/6,Wie_schön_leuchtet_der_Morgenstern_(BWV_172_6)_Jean_Sébastien_Bach_layout.ly,Wie schön leuchtet der Morgenstern,Wie schön leuchtet der Morgenstern
exact,BWV 36/4,Wie_schön_leuchtet_der_Morgenstern_(BWV_36_4)_Jean_Sébastien_Bach_layout.ly,Wie schön leuchtet der Morgenstern,Wie schön leuchtet der Morgenstern
exact,BWV 110/7,Wir_Christenleut_habn_jetzund_Freud_(BWV_110_7)_Jean_Sébastien_Bach_layout.ly,Wir Christenleut habn jetzund Freud,Wir Christenleut habn jetzund Freud
exact,BWV 40/3,Wir_Christenleut_habn_jetzund_Freud_(BWV_40_3)_Jean_Sébastien_Bach_layout.ly,Wir Christenleut habn jetzund Freud,Wir Christenleut habn jetzund Freud
exact,BWV 437,Wir_glauben_all_an_einen_Gott_(choral)_(BWV_437)_Jean_Sébastien_Bach_layout.ly,Wir glauben all an einen Gott,Wir glauben all an einen Gott
exact,BWV 248/23,"Wir_singen_dir,_Immanuel_(BWV_248_23)_Jean_Sébastien_Bach_layout.ly","Wir singen dir, Immanuel","Wir singen dir, Immanuel"
exact,BWV 258,Wo_Gott_der_Herr_nicht_bei_uns_hält_(BWV_258)_Jean_Sébastien_Bach_layout.ly,Wo Gott der Herr nicht bei uns hält,Wo Gott der Herr nicht bei uns hält
exact,BWV 438,Wo_Gott_zum_Haus_nicht_gibt_sein_Gunst_(BWV_438)_Jean_Sébastien_Bach_layout.ly,Wo Gott zum Haus nicht gibt sein Gunst,Wo Gott zum Haus nicht gibt sein Gunst
exact,BWV 136/6,Wo_soll_ich_fliehen_hin_(BWV_136_6)_Jean_Sébastien_Bach_layout.ly,Wo soll ich fliehen hin,Wo soll ich fliehen hin
exact,BWV 5/7,Wo_soll_ich_fliehen_hin_(BWV_5_7)_Jean_Sébastien_Bach_layout.ly,Wo soll ich fliehen hin,Wo soll ich fliehen hin
exact,BWV 89/6,Wo_soll_ich_fliehen_hin_(BWV_89_6)_Jean_Sébastien_Bach_layout.ly,Wo soll ich fliehen hin,Wo soll ich fliehen hin
exact,BWV 14/5,Wär_Gott_nicht_mit_uns_diese_Zeit_(BWV_14_5)_Jean_Sébastien_Bach_layout.ly,Wär Gott nicht mit uns diese Zeit,Wär Gott nicht mit uns diese Zeit
exact,BWV 257,Wär_Gott_nicht_mit_uns_diese_Zeit_(BWV_257)_Jean_Sébastien_Bach_layout.ly,Wär Gott nicht mit uns diese Zeit,Wär Gott nicht mit uns diese Zeit
exact,BWV 183/5,Zeuch_ein_zu_deinen_Toren_(BWV_183_5)_Jean_Sébastien_Bach_layout.ly,Zeuch ein zu deinen Toren,Zeuch ein zu deinen Toren
